Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology
fetarlaic,/ˈfʲe.dər.ləgʲ/,(in) uetere lege,ueter leg,/ˈwe.te.re/+/ˈle.ge/
Fetont\ide,/ˈfʲe.tən.tə.ðʲe/,Phaëthontias,Phaëthontia,/fa.e.ˈton.ti.as/
fíal 2,/ˈfʲiəl/,uēlum,uel,/ˈwe:.lum/
fích,/ˈfʲi:x/,uīcus,uic,/ˈwi:.kus/
fícul\dae,/ˈfʲi:.gul.de/,fīcula,ficul,/ˈfi:.ku.la/
figell,/ˈfʲi.ɣʲəL/,uigilia,uigili,/wi.ˈgi.li.a/
figor,/ˈfʲi.ɣər/,figūra,figur,/ˈfi:.gu:.ra/
Filistín,/ˈfʲi.lʲə.ʃtʲi:n/,?,,
fín 1,/ˈfʲi:n/,uīnum,uin,/ˈwi:.num/
firmint,/ˈfʲirʲ.mʲənʲtʲ/,firmāmentum,firmament,/fir.ma:.ˈmen.tum/
fís,/ˈfʲi:ʃ/,uīsiō,uisio,/ˈwi:.si.o:/
físíu,/ˈfʲi:.ʃiw/,uīsiō,uisio,/ˈwi:.si.o:/
fíthal,/ˈfʲi:.θəl/,*uītulus,uitul,/ˈwi:.tu.lus/
fiurt,/ˈfʲiwrt/,uirtūs,uirtu,/ˈwir.tu:s/
Flistim,/ˈfʲli.ʃtʲəm/,Philisthim,Philisthim,/fi.ˈlis.tim/
foirm,/ˈforʲmʲ/,fōrma,form,/ˈfo:r.ma/
Gabón,/ˈga.vo:n/,?,,
Gabrél,/ˈga.vʲrʲe:l/,?,,
