der.'be:n.s,/ˈdʲer.bən.ste/,derbēnsis,derbens\dae
dew.te.ro.'no.mi.,/ˈdʲew.tər.nəɱʲ/,deuteronomium,deutornim
di.'a.bo.l,/ˈdʲiə.vul/',diabolos,díabul
di.'a:.ko.n,/ˈdʲe.xən/,diāconus,dechon
di.a.'lek.ti.k,/ˈdʲiə.lʲex.təkʲ/',dialectica,dialectaicc
di.'a.me.ter,/ˈdʲiə.θʲərʲ/',diameter,díaithir
dik.t,/ˈdʲex.təðʲ/,dictō,decht\aid
dik.'ta:.to:r,/ˈdix.tə.do:rʲ/,dictātōr,dictatóir
di.'gam.m,/ˈdʲi.ɣəmʲ/',digamma,digaimm
dis.'ki.bu.l,/ˈdʲe.ʃkʲə.bul/',discipulus,descipul
'do.eg,/ˈdo.eg/,Doeg,Doeg
dom.'ni.k,/ˈdoɱ.nəx/,*domnicus,domnach
'dra.ko:,/ˈdrawg/,dracō,drauc
'du.bl,/ˈdu.bulʲ/,duplus,dupuil
'du.um.wir,/ˈdo:.ɱo:rʲ/,duumuir,dómóir
e.ˈkle:.si.,/ˈe.gləʃ/,eclēsia,eclais
'e.le.fan.t,/ˈe.lʲə.fa:nʲtʲ/,elephantem,elifáint
em.bo.'lis.m,/ˈemʲ.bʲlʲə.ʃəm/,embolismus,embleisim
e.'bak.t,/ˈe.bəxt/,epactae,epacht
ˈe.pe.s,/ˈe.fʲəs/,Ephesus,Ephes
e.'fra.te:.,/ˈe.frə.dʲə.ðʲe/,Ephrataeus,Eufrat\ide
e.'bis.tu.l,/ˈe.bʲə.ʃtʲəlʲ/,epistula,eipistil
'ebs.ko.b,/ˈeb.skəb/,*epscopus,epscop
'e.saw,/e:.su/,Esau,Éssu
es.'ko.b,/ˈe.skəb/,escopus,escop
eks.'kep.t,/ˈex.skəp.təðʲ/',exceptus,except\aid
eks.kom.mu:.ni.'ka:.ti.o:,/ˈesk.ɱən/,excommūnicātiō,escmon
eks.hi.'ber.n,/ˈe.sərn/,exhibernum,esarn
ek.ˈsor.kis.t,/ˈex.sər.kə.stəðʲ/,exorcistus,exarcist\id
'fa.b,/ˈʃevʲ/,faba,seib
fa.'ta:.le,/ˈfa:.dəl/,fatāle,fátal
fe.'bra:.ri.,/ˈfʲe.vrə/,*febrārius,Febra
fe:.mi.'ni:.n,/ˈfʲe.ɱʲən/,fēminīnus,feimen 1
fe.'nes.tr,/ˈʃe.nʲə.ʃtʲər/,fenestra,seinester
'fer.ku.l,/ˈʃer.kəl/,ferculum,sercol
'fe:.ri.,/ˈʃe:.rʲe/,fēria,séire
fe:.ri.'a:.l,/ˈfʲe:.ro:lʲ/,fēriālis,féróil
'fi:.bu.l,/ˈʃi:.vəl/,fībula,síbal
ˈfik.t,/ˈʃext/,fictus,secht
'fi:.ku.l,/ˈfʲi:.gul.de/,fīcula,fícul\dae
'fi.gu:.r,/ˈfʲi.ɣər/,figūra,figor
fir.ma:.'men.t,/ˈfʲirʲ.mʲənʲtʲ/,firmāmentum,firmint
fle:k.t,/ˈʃlʲe:x.təðʲ/,flēctō,slécht\aid
'flo:.k,/ˈslo:x/,*flōcus,slóch
ˈfo:r.m,/ˈforʲmʲ/,fōrma,foirm
fra.'gil.l,/ˈsro.ɣʲəl/,*fragillum,sroigel
'fre:.n,/ˈʃrʲiən/,frēnum,srían
ˈfur.n,/ˈsorn/,furnus,sorn
'fu:s.t,/ˈsu:st/,fūstis,súst
/ˈga.la.t,/ˈga.ləd/,Galatae,Galat
ga.li:.ˈle:.,/ˈga.ləlʲ/,Galīlaea,Galail
ˈgal.l,/ˈgaL/,Gallus,Gall 1
gar.'ga:.n,/ˈgar.ga:n/,Gargānus,Gargán
ge.ne.a:.'lo.gi.,/ˈgʲe.nʲə.ləx/,geneālogia,genelach
ge.'ni.ti.o:,/ˈgʲe.nʲə.dʲiw/,*genitiō,genitiu
ˈgen.t,/ˈgʲenʲ.tʲi/,gentēs,geint\i
'gen.ti.l,/ˈgʲe.nʲ.tʲlʲə.ðʲe/,gentilis,gentl\ide
ge.'run.di.,/ˈgʲe.rəndʲ/,gerundium,gerind
'glan.di.,/ˈgla.nʲe/,glandium,glaine 3
ˈglo:.s,/ˈgluəs/,glōsa,glúas
gli.'ke.ri.,/ˈglʲi.ɣʲər.nəd/,Glycerium,gliger\nat
gra:.d,/ˈgra:ð/,*grādus,grád 1
gram.'ma.ti.k,/ˈgra.mə.dəkʲ/,grammatica,grammataicc
gra.w,/ˈgrafʲ/,grauis,graif 3
'gre:.k,/ˈgre:g/,*grēcus,gréc 1
'gri:.f,/ˈgʲrʲi:v/,grȳphus,gríb
ˈha.ba.kuk,/ˈam.bə.kuk./,Habacuc,Ambaucuc
ha.'be:.n,/ˈa.vəN/,habēna,abann
he:.'re.s,/ˈe.rʲəs/,haeresis,eres
he:.'re.ti.k,/ˈe.rʲə.dʲəg/,haereticus,eritic
he.'bre:.,/ˈe.vre/,Hebraeus,Ebrae 1
he.ri.o.'so.li.m,/ˈi.ru.sə.lʲəɱ/,Heriosolyma,Irusalem
he:.'ro:.de:,/ˈe.ro:ðʲ/,Hērōdēs,Heróid
he:.ˈro:.i.k,/ˈe.rʲe:x.ðe/,hērōicus,eréc\dae
'he.saw,/e.ˈsaw/,Hesau,Esau
hi.e.'ro:.ni.m,/ˈkʲi.rʲə.nʲe/,Hierōnymus,Cir\ine
'ho.nor,/ˈo.no:rʲ/,honor,onóir
'ho:.r,/ˈo:r/,hōra,úar
ho.ra.ti.'a:.n,/ˈo.rə.tʲən.de/,horatiānus,oratian\dae
'ho.se.a,/ˈo.se/,Hosea,Ossæ
ˈhu.mi.l,/ˈu.ɱəl/,humilis,umal
hu.mi.li.ˈta:.t,/ˈu.ɱəl.do:dʲ/,humilitātem,umaldóit
ja:.'ju:.ni.,/ˈaj.nʲe/,iāiūnium,aíne
i:.'do:.l,/ˈi:.ðəl/,īdōlum,ídol
i.'do:.ne.,/ˈi.ðən/,idōneus,idan
i.du.'me:.,/ˈiə.ðuɱ.ðe/,Idumaea,íadum\dae
'je.bus,/ˈe.vu.ste/,Iebus,ebus\tae
je.'na:.ri.,/ˈje.nər/,*ienārius,Ienar
'je:.su:,/ˈi:.su/,Iēsūs,Ísu
'je.su.a,/ˈʲe.su/,Iesua,Iessu
i.ˈfer.n,/ˈi.fʲərn/,*ifernum,ifern
'i:.li.k,/ˈi.lʲəx.ðe,īlicem,ilec\de
'i:.liŋ.n,/ˈi.lʲəɣ.nʲə.ðʲe/,īlignus,ilign\ide
i:.'ma:.go:,/ˈi:.ɱa:ɣʲ/,*īmāgō,ímáig
ˈim.pro.b,/ˈam.prəɱ/,improbus,amprom
'i.na.k,/ˈi.nəx.ðe/,Inachus,inach\dae
in.ˈdik.ti.o:,/ˈin.dʲəxt/,indictiō,indecht
in.fi:.'ni:.t,/ˈinʲ.fʲə.nʲədʲ/,infīnītum,infinit
in.'no.ku.,/ˈe.Nəg/,innocuus,ennac
i:n.skri:.'ben.d,/ˈinʲ.ʃkʲrʲi:.vʲənd/,īnscrībendum,inscríbend
in.tel.'lek.t,/ˈinʲ.tʲluxt/,intellectus,intliucht
in.ten.ti.o:,/ˈinʲ.tʲəN/,intentiō,intinn
in.ter.'jek.ti.o:,/ˈinʲ.tʲə.rʲəxt/,interiectiō,interiecht
jo.ab,/ˈjo.av/,Ioab,Ioäb
jo:.'an.ne:,/ˈjo.anʲ/,Iōannēs,Iohain
jo:b,/ˈjo:v/,Iōb,Iób
'jo.na.ta:n,/ˈjo.na.θan/,Ionathān,Ionathan
ˈjor.da.ne:n,/ˈjor.da.nʲe:n/,Iordanēn,Iordanén
jo:.'se:.f,/ˈjo.ʃiəv/,Iōsēphus,Ioseph
i:.ro:.ˈni:.,/ˈi:.ro:nʲ/,īrōnīa,íróin
ˈi.sa.a:k,/ˈi.sa.ak/,Isaāc,Isáac
'is.majl,/ˈi.smajl/,Ismael,Ismaíl
is.ˈra:.e:l,/ˈi.sra.el/',Isrāēl,Israël
i.ˈta.li.,/ˈe.da:lʲ/,italia,Etáil
ju:da,/ˈju:.ða/',Iūdās,Iuda
ju:da,/ˈju:.ðəs/',Iūdās,Iudas
ju:.'de:.,/ˈju:.ðe.i/',Iūdaeus,Iúdaei
'ju:.li.,/ˈju:lʲ/,Iūlius,iúil
ka.'len.d,/ˈka.lənd/,Kalendae,caland
ka.'len.d,/ˈko.Lən.də.rəxt/,Kalendae,colland\oracht
la.'bo:.r,/ˈlu.vərʲ/,labōrem,lubair
'la:.i.k,/ˈlajx/,lāicus,láech
'la:.mi.n,/ˈlaN/,lāmina,lann
'la:r.t,/ˈlart/,Lartem,lart
'la.ter,/ˈla.tʲər/,later,later
