Latin Stem Phonology,Irish Phonology,Latin Word,Latin Stem,Irish Word,Latin Word Phonology
di.a.'lek.ti.k,/ˈdʲiə.lʲex.təkʲ/',dialectica,dialectic,dialectaicc,/di.a.'lek.ti.ka/
di.'a.me.ter,/ˈdʲiə.θʲərʲ/',diameter,diameter,díaithir,/di.'a.me.ter/
dik.t,/ˈdʲex.təðʲ/,dictō,dict,decht\aid,/dik.to:/
dik.'ta:.to:r,/ˈdix.tə.do:rʲ/,dictātōr,dictator,dictatóir,/dik.'ta:.to:r/
di.'gam.m,/ˈdʲi.ɣəmʲ/',digamma,digamm,digaimm,/di.'gam.ma/
dis.'ki.pu.l,/ˈdʲe.ʃkʲə.bul/',discipulus,discipul,descipul,/dis.'ki.pu.lus/
'do.eg,/ˈdo.eg/,Doeg,Doeg,Doeg,/'do.eg/
dom.'ni.k,/ˈdoɱ.nəx/,*domnicus,domnic,domnach,/dom.'ni.kus/
'dra.ko:,/ˈdrawg/,dracō,draco,drauc,/'dra.ko:/
'du.pl,/ˈdu.bulʲ/,duplus,dupl,dupuil,/'du.plus/
'du.um.wir,/ˈdo:.ɱo:rʲ/,duumuir,duumuir,dómóir,/'du.um.wir/
e.ˈkle:.si.,/ˈe.gləʃ/,eclēsia,eclesi,eclais,/e.ˈkle:.si.a/
'e.le.fan.t,/ˈe.lʲə.fa:nʲtʲ/,elephantem,elephantem,elifáint,/e.le.'fan.tem/
em.bo.'lis.m,/ˈemʲ.bʲlʲə.ʃəm/,embolismus,embolism,embleisim,/em.bo.'lis.mus/
e.'pak.t,/ˈe.bəxt/,epactae,epact,epacht,/e.'pak.te:/
ˈe.pe.s,/ˈe.fʲəs/,Ephesus,Ephes,Ephes,/ˈe.pe.sus/
e.'fra.te:.,/ˈe.frə.dʲə.ðʲe/,Ephrataeus,Ephratae,Eufrat\ide,/e.'fra.te:.us/
e.'pis.tu.l,/ˈe.bʲə.ʃtʲəlʲ/,epistula,epistul,eipistil,/e.'pis.tu.la/
'eps.ko.p,/ˈeb.skəb/,*epscopus,epscop,epscop,/'eps.ko.pus/
'e.saw,/e:.su/,Esau,Esau,Éssu,/'e.saw/
es.'ko.p,/ˈe.skəb/,escopus,escop,escop,/es.'ko.pus/
eks.'kep.t,/ˈex.skəp.təðʲ/',exceptus,except,except\aid,/ek.'skep.tus/
eks.kom.mu:.ni.'ka:.ti.o:,/ˈesk.ɱən/,excommūnicātiō,excommunicatio,escmon,/eks.kom.mu:.ni.'ka:.ti.o:/
eks.hi.'ber.n,/ˈe.sərn/,exhibernum,exhibern,esarn,/eks.hi.'ber.num
ek.ˈsor.kis.t,/ˈex.sər.kə.stəðʲ/,exorcistus,exorcist,exarcist\id,/ek.ˈsor.kis.tus/
'fa.b,/ˈʃevʲ/,faba,fab,seib,/'fa.ba/
fa.'ta:.le,/ˈfa:.dəl/,fatāle,fatal,fátal,/fa.'ta:.le/
fe.'bra:.ri.,/ˈfʲe.vrə/,*febrārius,febrari,Febra,/fe.'bra:.ri.us/
fe:.mi.'ni:.n,/ˈfʲe.ɱʲən/,fēminīnus,feminin,feimen 1,/fe:.mi.'ni:.num/
fe.'nes.tr,/ˈʃe.nʲə.ʃtʲər/,fenestra,fenestr,seinester,/fe.'nes.tra/
'fer.ku.l,/ˈʃer.kəl/,ferculum,fercul,sercol,/'fer.ku.lum/
'fe:.ri.,/ˈʃe:.rʲe/,fēria,feri,séire,/'fe:.ri.a/
fe:.ri.'a:.l,/ˈfʲe:.ro:lʲ/,fēriālis,ferial,féróil,/fe:.ri.'a:.lis/
'fi:.bu.l,/ˈʃi:.vəl/,fībula,fibul,síbal,/'fi:.bu.la/
ˈfik.t,/ˈʃext/,fictus,fict,secht,/ˈfik.tus/
'fi:.ku.l,/ˈfʲi:.gul.de/,fīcula,ficul,fícul\dae,/'fi:.ku.la/
'fi.gu:.r,/ˈfʲi.ɣər/,figūra,figur,figor,/'fi.gu:.ra/
fir.ma:.'men.t,/ˈfʲirʲ.mʲənʲtʲ/,firmāmentum,firmament,firmint,/fir.ma:.'men.tum/
fle:k.t,/ˈʃlʲe:x.təðʲ/,flēctō,flect,slécht\aid,/fle:k.to:/
'flo:.k,/ˈslo:x/,*flōcus,flocc,slóch,/'flo:.kus/
ˈfo:r.m,/ˈforʲmʲ/,fōrma,form,foirm,/ˈfo:r.ma/
fra.'gil.l,/ˈsro.ɣʲəl/,*fragillum,fragill,sroigel,/fra.'gil.lum/
