Irish Lemma,Irish Phonology,Latin Etymology,Latin Stem,Latin Phonology,,,,,,,
dictatóir,/'dix.tə.do:rʲ/,dictātōr,dict,/dik.'ta:.to:r/,,,,,,,
digaimm,/'dʲi.ɣəmʲ/',digamma,digamm,/di.'gam.ma/,,,,,,,
dírnae,/'dʲi:r.ne/,dēnārius ,denari,/de:.'na:.ri.us/,,,,,,,
Doeg,/'do.eg/,Doeg,Doeg,/'do.eg/,,,,,,,
domnach,/'doɱ.nəx/,*domnicus,domnic,/dom.'ni.kus/,,,,,,,
dómóir,/'do:.ɱo:rʲ/,duumuir,duumuir,/'du.um.wir/,,,,,,,
drauc,/'drawg/,dracō,draco,/'dra.ko:/,,,,,,,
dupuil,/'du.bulʲ/,duplus,dupl,/'du.plus/,,,,,,,
Ebrae 1,/'e.vre/,Hebraeus,hebrae,/he.'braj.us/,,,,,,,
ebus\tae,/'e.vu.ste/,Iebus,Iebus,/'je.bus/,,,,,,,
ecenocht,/'e.gʲə.nəxt/',aequinoctium,aequinoct,/aj.kwi.'nok.ti.um/,,,,,,,
eclais,/'e.gləʃ/,eclēsia,/e.'kle:.si.a/,,,,
Effraim,/'e.frəmʲ/,?,,,,,
Éigept,/'e:.ɣʲəpt/,Aegyptus,aegipt,/aj.'gip.tus/,,,,,,,
éigept\ach\dae,/'e:.ɣʲəp.təx.ðe/,aegyptiacus,aegiptiac,/aj.gip.'ti.a.kus/,,,,,,,
eipistil,/'e.bʲə.ʃtʲəlʲ/,epistula,epistul,/e.'pis.tu.la/,,,,,,,
Eli,/'e.lʲi/,?,,,,,
elifáint,/'e.lʲə.fa:nʲtʲ/,elephās,elephas,/'e.le.fa:s/,,,,,,,
Eman,/'e.ɱən/,?,,,,,
embleisim,/'emʲ.bʲlʲə.ʃəm/,embolismus,embolism,/em.bo.'lis.mus/,,,,,,,
emilén\dae,/'e.ɱʲəlʲe:nde/,aemiliānus,aemilianus,/aj.mi.li.'a:.nus/,,,,,,,
Endor,/'en.dər/,?,,,,,
ennac,/'e.Nəg/,innocuus,innocu,/in.'no.ku.us/,,,,,,,
Enóc,/'e.no:g/,?,,,,,
eol\dae,/'ewl.de/,Aeolus,Aeolus,/'aj.o.lus/,,,,,,,
eolen\tae,/'ew.lʲən.te/,aeolēnsis,/aj.o.'le:n.sis/,,,,
epacht,/'e.bəxt/,epactae,epactae,/e.'pak.taj/,,,,,,,
Ephes,/'e.fʲəs/,Ephesus,/'e.pe.sus/,,,,
epscop,/'eb.skəb/,*epscopus,epscopus,/'eps.ko.pus/,,,,,,,
eréc\dae,/'e.rʲe:x.ðe/,hērōicus,/he:.'ro:.i.kus/,,,,
eres,/'e.rʲəs/,haeresis,haeresis,/haj.'re.sis/,,,,,,,
eritic,/'e.rʲə.dʲəg/,haereticus,haeretic,/haj.'re.ti.kus/,,,,,,,
esarn,/'e.sərn/,exhibernum,exhibernum,/eks.hi.'ber.num,,,,,,,
Esau,/e.'saw/,Hesau,Hesau,/'he.saw/,,,,,,,
esbicul,/'eʃ.bʲə.kul/,scyphulus,/'ski.pu.lus/,,,,
escmon,/'esk.ɱən/,excommūnicātiō,excommunicatio,/eks.kom.mu:.ni.'ka:.ti.o:/,,,,,,,
escop,/'e.skəb/,escopus,escopus,/es.'ko.pus/,,,,,,,
esparta,/'e.spər.tə/,(hōra) vespertīna,vespertin,/wes.per.'ti:.na/,,,,,,,
Éssu,/e:.su/,Esau,Esau,/'e.saw/,,,,,,,
Ésu,/'e:.su/,?,,,,,
Etáil,/'e.da:lʲ/,italia,/i.'ta.li.a/,,,,
Ethioip,/'e.θʲəbʲ/,Aethiopia,aethiopi,/aj.ti.'o.pi.a/,,,,,,,
Eufrat\ide,/'e.frə.dʲə.ðʲe/,Ephrataeus,Ephrataeus,/e.'fra.taj.us/,,,,,,,
exarcist\id,/'ex.sər.kə.stəðʲ/,exorcistus,/ek.'sor.kis.tus/,,,,
except\aid,/'ex.skəp.təðʲ/',exceptus,except,/ek.'skep.tus/,,,,,,,
Ezechial,?,,,,,
faigen,/'fa.ɣʲən/,*uagīna,uagin,/'wa.gi:.na/,,,,,,,
fáilte,/'fa:lʲ.tʲe/,ualentia,ualent,/wa.'len.ti.a/,,,,,,,
Farao,/'fa.ra.o/,?,,,,,
fátal,/'fa:.dəl/,fatāle,fatal,/fa.'ta:.le/,,,,,,,
Febra,/'fʲe.vrə/,*febrārius,febrarius,/fe.'bra:.ri.us/,,,,,,,
féil,/'fʲe:lʲ/,*ueglia,ueglia,/'we.gli.a/,,,,,,,
feimen 1,/'fʲe.ɱʲən/,fēminīnus,feminin,/fe:.mi.'ni:.num/,,,,,,,
